Region,Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Custom Region",Afghanistan,2013,Total,31108077,15782020,15326057,100.0,100.0,100.0,103.0
"Custom Region",Afghanistan,2013,0-4,4954694,2516706,2437988,15.9,15.9,15.9,103.2
"Custom Region",Afghanistan,2013,5-9,4237569,2151981,2085588,13.6,13.6,13.6,103.2
"Custom Region",Afghanistan,2013,10-14,4060950,2064410,1996540,13.1,13.1,13.0,103.4
"Custom Region",Afghanistan,2013,15-19,3776516,1923726,1852790,12.1,12.2,12.1,103.8
"Custom Region",Afghanistan,2013,20-24,3049334,1555970,1493364,9.8,9.9,9.7,104.2
"Custom Region",Afghanistan,2013,25-29,2320151,1183756,1136395,7.5,7.5,7.4,104.2
"Custom Region",Afghanistan,2013,30-34,1811255,929507,881748,5.8,5.9,5.8,105.4
"Custom Region",Afghanistan,2013,35-39,1638266,839887,798379,5.3,5.3,5.2,105.2
"Custom Region",Afghanistan,2013,40-44,1331435,676627,654808,4.3,4.3,4.3,103.3
"Custom Region",Afghanistan,2013,45-49,1090082,554117,535965,3.5,3.5,3.5,103.4
"Custom Region",Afghanistan,2013,50-54,872649,439309,433340,2.8,2.8,2.8,101.4
"Custom Region",Afghanistan,2013,55-59,680699,338115,342584,2.2,2.1,2.2,98.7
"Custom Region",Afghanistan,2013,60-64,509948,247514,262434,1.6,1.6,1.7,94.3
"Custom Region",Afghanistan,2013,65-69,357826,170282,187544,1.2,1.1,1.2,90.8
"Custom Region",Afghanistan,2013,70-74,227576,105885,121691,0.7,0.7,0.8,87.0
"Custom Region",Afghanistan,2013,75-79,122422,55836,66586,0.4,0.4,0.4,83.9
"Custom Region",Afghanistan,2013,80-84,50319,21693,28626,0.2,0.1,0.2,75.8
"Custom Region",Afghanistan,2013,85-89,13825,5688,8137,0.0,0.0,0.1,69.9
"Custom Region",Afghanistan,2013,90-94,2350,931,1419,0.0,0.0,0.0,65.6
"Custom Region",Afghanistan,2013,95-99,201,76,125,0.0,0.0,0.0,60.8
"Custom Region",Afghanistan,2013,100+,10,4,6,0.0,0.0,0.0,66.7
"Custom Region",Afghanistan,2014,Total,31822848,16140369,15682479,100.0,100.0,100.0,102.9
"Custom Region",Afghanistan,2014,0-4,5056118,2568496,2487622,15.9,15.9,15.9,103.3
"Custom Region",Afghanistan,2014,5-9,4312498,2189984,2122514,13.6,13.6,13.5,103.2
"Custom Region",Afghanistan,2014,10-14,4004604,2035352,1969252,12.6,12.6,12.6,103.4
"Custom Region",Afghanistan,2014,15-19,3902769,1987340,1915429,12.3,12.3,12.2,103.8
"Custom Region",Afghanistan,2014,20-24,3162276,1612924,1549352,9.9,10.0,9.9,104.1
"Custom Region",Afghanistan,2014,25-29,2445619,1247364,1198255,7.7,7.7,7.6,104.1
"Custom Region",Afghanistan,2014,30-34,1878572,960078,918494,5.9,5.9,5.9,104.5
"Custom Region",Afghanistan,2014,35-39,1642445,845560,796885,5.2,5.2,5.1,106.1
"Custom Region",Afghanistan,2014,40-44,1373842,697665,676177,4.3,4.3,4.3,103.2
"Custom Region",Afghanistan,2014,45-49,1120346,569003,551343,3.5,3.5,3.5,103.2
"Custom Region",Afghanistan,2014,50-54,897462,451653,445809,2.8,2.8,2.8,101.3
"Custom Region",Afghanistan,2014,55-59,700602,348214,352388,2.2,2.2,2.2,98.8
"Custom Region",Afghanistan,2014,60-64,525134,254983,270151,1.7,1.6,1.7,94.4
"Custom Region",Afghanistan,2014,65-69,368804,175330,193474,1.2,1.1,1.2,90.6
"Custom Region",Afghanistan,2014,70-74,235108,109128,125980,0.7,0.7,0.8,86.6
"Custom Region",Afghanistan,2014,75-79,126838,57655,69183,0.4,0.4,0.4,83.3
"Custom Region",Afghanistan,2014,80-84,52501,22637,29864,0.2,0.1,0.2,75.8
"Custom Region",Afghanistan,2014,85-89,14580,5940,8640,0.0,0.0,0.1,68.8
"Custom Region",Afghanistan,2014,90-94,2492,973,1519,0.0,0.0,0.0,64.1
"Custom Region",Afghanistan,2014,95-99,229,87,142,0.0,0.0,0.0,61.3
"Custom Region",Afghanistan,2014,100+,9,3,6,0.0,0.0,0.0,50.0
"Custom Region",Afghanistan,2015,Total,32564342,16512177,16052165,100.0,100.0,100.0,102.9
"Custom Region",Afghanistan,2015,0-4,5158865,2620949,2537916,15.8,15.9,15.8,103.3
"Custom Region",Afghanistan,2015,5-9,4391299,2230124,2161175,13.5,13.5,13.5,103.2
"Custom Region",Afghanistan,2015,10-14,3955637,2009948,1945689,12.1,12.2,12.1,103.3
"Custom Region",Afghanistan,2015,15-19,4015857,2044300,1971557,12.3,12.4,12.3,103.7
"Custom Region",Afghanistan,2015,20-24,3280582,1672438,1608144,10.1,10.1,10.0,104.0
"Custom Region",Afghanistan,2015,25-29,2575224,1313158,1262066,7.9,8.0,7.9,104.0
"Custom Region",Afghanistan,2015,30-34,1932992,987241,945751,5.9,6.0,5.9,104.4
"Custom Region",Afghanistan,2015,35-39,1663982,856501,807481,5.1,5.2,5.0,106.1
"Custom Region",Afghanistan,2015,40-44,1422250,722419,699831,4.4,4.4,4.4,103.2
"Custom Region",Afghanistan,2015,45-49,1151230,583786,567444,3.5,3.5,3.5,102.9
"Custom Region",Afghanistan,2015,50-54,924104,465076,459028,2.8,2.8,2.9,101.3
"Custom Region",Afghanistan,2015,55-59,721836,358776,363060,2.2,2.2,2.3,98.8
"Custom Region",Afghanistan,2015,60-64,541441,263194,278247,1.7,1.6,1.7,94.6
"Custom Region",Afghanistan,2015,65-69,380727,180836,199891,1.2,1.1,1.2,90.5
"Custom Region",Afghanistan,2015,70-74,243296,112717,130579,0.7,0.7,0.8,86.3
"Custom Region",Afghanistan,2015,75-79,131778,59685,72093,0.4,0.4,0.4,82.8
"Custom Region",Afghanistan,2015,80-84,54907,23678,31229,0.2,0.1,0.2,75.8
"Custom Region",Afghanistan,2015,85-89,15418,6230,9188,0.0,0.0,0.1,67.8
"Custom Region",Afghanistan,2015,90-94,2656,1024,1632,0.0,0.0,0.0,62.7
"Custom Region",Afghanistan,2015,95-99,251,94,157,0.0,0.0,0.0,59.9
"Custom Region",Afghanistan,2015,100+,10,3,7,0.0,0.0,0.0,42.9
"Custom Region",Afghanistan,2016,Total,33332025,16897150,16434875,100.0,100.0,100.0,102.8
"Custom Region",Afghanistan,2016,0-4,5263927,2674591,2589336,15.8,15.8,15.8,103.3
"Custom Region",Afghanistan,2016,5-9,4481168,2275882,2205286,13.4,13.5,13.4,103.2
"Custom Region",Afghanistan,2016,10-14,3931827,1997466,1934361,11.8,11.8,11.8,103.3
"Custom Region",Afghanistan,2016,15-19,4091971,2082457,2009514,12.3,12.3,12.2,103.6
"Custom Region",Afghanistan,2016,20-24,3403055,1733912,1669143,10.2,10.3,10.2,103.9
"Custom Region",Afghanistan,2016,25-29,2705387,1379250,1326137,8.1,8.2,8.1,104.0
"Custom Region",Afghanistan,2016,30-34,2014092,1027734,986358,6.0,6.1,6.0,104.2
"Custom Region",Afghanistan,2016,35-39,1677430,863039,814391,5.0,5.1,5.0,106.0
"Custom Region",Afghanistan,2016,40-44,1472190,748411,723779,4.4,4.4,4.4,103.4
"Custom Region",Afghanistan,2016,45-49,1182389,598557,583832,3.5,3.5,3.6,102.5
"Custom Region",Afghanistan,2016,50-54,951436,478914,472522,2.9,2.8,2.9,101.4
"Custom Region",Afghanistan,2016,55-59,743365,369420,373945,2.2,2.2,2.3,98.8
"Custom Region",Afghanistan,2016,60-64,557569,271393,286176,1.7,1.6,1.7,94.8
"Custom Region",Afghanistan,2016,65-69,392508,186241,206267,1.2,1.1,1.3,90.3
"Custom Region",Afghanistan,2016,70-74,251098,116173,134925,0.8,0.7,0.8,86.1
"Custom Region",Afghanistan,2016,75-79,136512,61534,74978,0.4,0.4,0.5,82.1
"Custom Region",Afghanistan,2016,80-84,56968,24581,32387,0.2,0.1,0.2,75.9
"Custom Region",Afghanistan,2016,85-89,16098,6443,9655,0.0,0.0,0.1,66.7
"Custom Region",Afghanistan,2016,90-94,2760,1051,1709,0.0,0.0,0.0,61.5
"Custom Region",Afghanistan,2016,95-99,264,97,167,0.0,0.0,0.0,58.1
"Custom Region",Afghanistan,2016,100+,11,4,7,0.0,0.0,0.0,57.1
"Custom Region",Afghanistan,2017,Total,34124811,17294717,16830094,100.0,100.0,100.0,102.8
"Custom Region",Afghanistan,2017,0-4,5369368,2728428,2640940,15.7,15.8,15.7,103.3
"Custom Region",Afghanistan,2017,5-9,4582814,2327606,2255208,13.4,13.5,13.4,103.2
"Custom Region",Afghanistan,2017,10-14,4011535,2037946,1973589,11.8,11.8,11.7,103.3
"Custom Region",Afghanistan,2017,15-19,4055028,2062928,1992100,11.9,11.9,11.8,103.6
"Custom Region",Afghanistan,2017,20-24,3528347,1796768,1731579,10.3,10.4,10.3,103.8
"Custom Region",Afghanistan,2017,25-29,2832971,1443936,1389035,8.3,8.3,8.3,104.0
"Custom Region",Afghanistan,2017,30-34,2107992,1074703,1033289,6.2,6.2,6.1,104.0
"Custom Region",Afghanistan,2017,35-39,1703668,875393,828275,5.0,5.1,4.9,105.7
"Custom Region",Afghanistan,2017,40-44,1518220,773007,745213,4.4,4.5,4.4,103.7
"Custom Region",Afghanistan,2017,45-49,1214782,613962,600820,3.6,3.5,3.6,102.2
"Custom Region",Afghanistan,2017,50-54,979308,492968,486340,2.9,2.9,2.9,101.4
"Custom Region",Afghanistan,2017,55-59,764990,380091,384899,2.2,2.2,2.3,98.8
"Custom Region",Afghanistan,2017,60-64,573587,279544,294043,1.7,1.6,1.7,95.1
"Custom Region",Afghanistan,2017,65-69,404128,191587,212541,1.2,1.1,1.3,90.1
"Custom Region",Afghanistan,2017,70-74,258514,119468,139046,0.8,0.7,0.8,85.9
"Custom Region",Afghanistan,2017,75-79,140978,63232,77746,0.4,0.4,0.5,81.3
"Custom Region",Afghanistan,2017,80-84,58779,25354,33425,0.2,0.1,0.2,75.9
"Custom Region",Afghanistan,2017,85-89,16676,6624,10052,0.0,0.0,0.1,65.9
"Custom Region",Afghanistan,2017,90-94,2841,1069,1772,0.0,0.0,0.0,60.3
"Custom Region",Afghanistan,2017,95-99,273,99,174,0.0,0.0,0.0,56.9
"Custom Region",Afghanistan,2017,100+,12,4,8,0.0,0.0,0.0,50.0
"Custom Region",Albania,2013,Total,3011405,1490030,1521375,100.0,100.0,100.0,97.9
"Custom Region",Albania,2013,0-4,175831,92819,83012,5.8,6.2,5.5,111.8
"Custom Region",Albania,2013,5-9,182911,97267,85644,6.1,6.5,5.6,113.6
"Custom Region",Albania,2013,10-14,240456,126154,114302,8.0,8.5,7.5,110.4
"Custom Region",Albania,2013,15-19,289785,150139,139646,9.6,10.1,9.2,107.5
"Custom Region",Albania,2013,20-24,299168,150838,148330,9.9,10.1,9.7,101.7
"Custom Region",Albania,2013,25-29,263287,129267,134020,8.7,8.7,8.8,96.5
"Custom Region",Albania,2013,30-34,203754,95190,108564,6.8,6.4,7.1,87.7
"Custom Region",Albania,2013,35-39,175442,79150,96292,5.8,5.3,6.3,82.2
"Custom Region",Albania,2013,40-44,174171,81336,92835,5.8,5.5,6.1,87.6
"Custom Region",Albania,2013,45-49,180183,85858,94325,6.0,5.8,6.2,91.0
"Custom Region",Albania,2013,50-54,198442,97529,100913,6.6,6.5,6.6,96.6
"Custom Region",Albania,2013,55-59,172194,85601,86593,5.7,5.7,5.7,98.9
"Custom Region",Albania,2013,60-64,129539,65064,64475,4.3,4.4,4.2,100.9
"Custom Region",Albania,2013,65-69,101775,51269,50506,3.4,3.4,3.3,101.5
"Custom Region",Albania,2013,70-74,98575,48237,50338,3.3,3.2,3.3,95.8
"Custom Region",Albania,2013,75-79,66094,31830,34264,2.2,2.1,2.3,92.9
"Custom Region",Albania,2013,80-84,37422,15710,21712,1.2,1.1,1.4,72.4
"Custom Region",Albania,2013,85-89,16207,5285,10922,0.5,0.4,0.7,48.4
"Custom Region",Albania,2013,90-94,5310,1335,3975,0.2,0.1,0.3,33.6
"Custom Region",Albania,2013,95-99,762,141,621,0.0,0.0,0.0,22.7
"Custom Region",Albania,2013,100+,97,11,86,0.0,0.0,0.0,12.8
"Custom Region",Albania,2014,Total,3020209,1494103,1526106,100.0,100.0,100.0,97.9
"Custom Region",Albania,2014,0-4,179720,94685,85035,6.0,6.3,5.6,111.3
"Custom Region",Albania,2014,5-9,173068,92053,81015,5.7,6.2,5.3,113.6
"Custom Region",Albania,2014,10-14,229121,120537,108584,7.6,8.1,7.1,111.0
"Custom Region",Albania,2014,15-19,283419,147121,136298,9.4,9.8,8.9,107.9
"Custom Region",Albania,2014,20-24,296930,150730,146200,9.8,10.1,9.6,103.1
"Custom Region",Albania,2014,25-29,271453,133772,137681,9.0,9.0,9.0,97.2
"Custom Region",Albania,2014,30-34,214252,101540,112712,7.1,6.8,7.4,90.1
"Custom Region",Albania,2014,35-39,176211,79257,96954,5.8,5.3,6.4,81.7
"Custom Region",Albania,2014,40-44,173559,80589,92970,5.7,5.4,6.1,86.7
"Custom Region",Albania,2014,45-49,175901,83262,92639,5.8,5.6,6.1,89.9
"Custom Region",Albania,2014,50-54,197173,96400,100773,6.5,6.5,6.6,95.7
"Custom Region",Albania,2014,55-59,178798,88577,90221,5.9,5.9,5.9,98.2
"Custom Region",Albania,2014,60-64,136818,68437,68381,4.5,4.6,4.5,100.1
"Custom Region",Albania,2014,65-69,102426,51595,50831,3.4,3.5,3.3,101.5
"Custom Region",Albania,2014,70-74,99270,48396,50874,3.3,3.2,3.3,95.1
"Custom Region",Albania,2014,75-79,69400,33334,36066,2.3,2.2,2.4,92.4
"Custom Region",Albania,2014,80-84,39210,16685,22525,1.3,1.1,1.5,74.1
"Custom Region",Albania,2014,85-89,16794,5527,11267,0.6,0.4,0.7,49.1
"Custom Region",Albania,2014,90-94,5727,1435,4292,0.2,0.1,0.3,33.4
"Custom Region",Albania,2014,95-99,856,159,697,0.0,0.0,0.0,22.8
"Custom Region",Albania,2014,100+,103,12,91,0.0,0.0,0.0,13.2
"Custom Region",Albania,2015,Total,3029278,1498263,1531015,100.0,100.0,100.0,97.9
"Custom Region",Albania,2015,0-4,183480,96479,87001,6.1,6.4,5.7,110.9
"Custom Region",Albania,2015,5-9,167345,88962,78383,5.5,5.9,5.1,113.5
"Custom Region",Albania,2015,10-14,218205,115220,102985,7.2,7.7,6.7,111.9
"Custom Region",Albania,2015,15-19,270218,140214,130004,8.9,9.4,8.5,107.9
"Custom Region",Albania,2015,20-24,295280,151265,144015,9.7,10.1,9.4,105.0
"Custom Region",Albania,2015,25-29,280401,138558,141843,9.3,9.2,9.3,97.7
"Custom Region",Albania,2015,30-34,225717,108352,117365,7.5,7.2,7.7,92.3
"Custom Region",Albania,2015,35-39,177946,80086,97860,5.9,5.3,6.4,81.8
"Custom Region",Albania,2015,40-44,172744,79606,93138,5.7,5.3,6.1,85.5
"Custom Region",Albania,2015,45-49,173153,81553,91600,5.7,5.4,6.0,89.0
"Custom Region",Albania,2015,50-54,193607,94052,99555,6.4,6.3,6.5,94.5
"Custom Region",Albania,2015,55-59,184592,91149,93443,6.1,6.1,6.1,97.5
"Custom Region",Albania,2015,60-64,144216,71854,72362,4.8,4.8,4.7,99.3
"Custom Region",Albania,2015,65-69,105356,52952,52404,3.5,3.5,3.4,101.0
"Custom Region",Albania,2015,70-74,98194,47849,50345,3.2,3.2,3.3,95.0
"Custom Region",Albania,2015,75-79,73102,34878,38224,2.4,2.3,2.5,91.2
"Custom Region",Albania,2015,80-84,40954,17647,23307,1.4,1.2,1.5,75.7
"Custom Region",Albania,2015,85-89,17626,5883,11743,0.6,0.4,0.8,50.1
"Custom Region",Albania,2015,90-94,6042,1509,4533,0.2,0.1,0.3,33.3
"Custom Region",Albania,2015,95-99,993,182,811,0.0,0.0,0.1,22.4
"Custom Region",Albania,2015,100+,107,13,94,0.0,0.0,0.0,13.8
"Custom Region",Albania,2016,Total,3038594,1502506,1536088,100.0,100.0,100.0,97.8
"Custom Region",Albania,2016,0-4,187018,98154,88864,6.2,6.5,5.8,110.5
"Custom Region",Albania,2016,5-9,166584,88432,78152,5.5,5.9,5.1,113.2
"Custom Region",Albania,2016,10-14,204561,108436,96125,6.7,7.2,6.3,112.8
"Custom Region",Albania,2016,15-19,256635,133293,123342,8.4,8.9,8.0,108.1
"Custom Region",Albania,2016,20-24,293096,150908,142188,9.6,10.0,9.3,106.1
"Custom Region",Albania,2016,25-29,287113,142610,144503,9.4,9.5,9.4,98.7
"Custom Region",Albania,2016,30-34,237701,115345,122356,7.8,7.7,8.0,94.3
"Custom Region",Albania,2016,35-39,181027,81858,99169,6.0,5.4,6.5,82.5
"Custom Region",Albania,2016,40-44,171852,78508,93344,5.7,5.2,6.1,84.1
"Custom Region",Albania,2016,45-49,171782,80621,91161,5.7,5.4,5.9,88.4
"Custom Region",Albania,2016,50-54,188253,90765,97488,6.2,6.0,6.3,93.1
"Custom Region",Albania,2016,55-59,189285,93157,96128,6.2,6.2,6.3,96.9
"Custom Region",Albania,2016,60-64,151802,75343,76459,5.0,5.0,5.0,98.5
"Custom Region",Albania,2016,65-69,110096,55125,54971,3.6,3.7,3.6,100.3
"Custom Region",Albania,2016,70-74,95944,46846,49098,3.2,3.1,3.2,95.4
"Custom Region",Albania,2016,75-79,76874,36356,40518,2.5,2.4,2.6,89.7
"Custom Region",Albania,2016,80-84,42755,18618,24137,1.4,1.2,1.6,77.1
"Custom Region",Albania,2016,85-89,18656,6338,12318,0.6,0.4,0.8,51.5
"Custom Region",Albania,2016,90-94,6290,1569,4721,0.2,0.1,0.3,33.2
"Custom Region",Albania,2016,95-99,1158,210,948,0.0,0.0,0.1,22.2
"Custom Region",Albania,2016,100+,112,14,98,0.0,0.0,0.0,14.3
"Custom Region",Albania,2017,Total,3047987,1506748,1541239,100.0,100.0,100.0,97.8
"Custom Region",Albania,2017,0-4,190194,99637,90557,6.2,6.6,5.9,110.0
"Custom Region",Albania,2017,5-9,169658,89866,79792,5.6,6.0,5.2,112.6
"Custom Region",Albania,2017,10-14,190264,101069,89195,6.2,6.7,5.8,113.3
"Custom Region",Albania,2017,15-19,245093,127841,117252,8.0,8.5,7.6,109.0
"Custom Region",Albania,2017,20-24,287292,148128,139164,9.4,9.8,9.0,106.4
"Custom Region",Albania,2017,25-29,291316,145692,145624,9.6,9.7,9.4,100.0
"Custom Region",Albania,2017,30-34,247262,120656,126606,8.1,8.0,8.2,95.3
"Custom Region",Albania,2017,35-39,188203,86288,101915,6.2,5.7,6.6,84.7
"Custom Region",Albania,2017,40-44,171139,77523,93616,5.6,5.1,6.1,82.8
"Custom Region",Albania,2017,45-49,171288,80133,91155,5.6,5.3,5.9,87.9
"Custom Region",Albania,2017,50-54,182178,87129,95049,6.0,5.8,6.2,91.7
"Custom Region",Albania,2017,55-59,192373,94333,98040,6.3,6.3,6.4,96.2
"Custom Region",Albania,2017,60-64,159307,78772,80535,5.2,5.2,5.2,97.8
"Custom Region",Albania,2017,65-69,116193,57916,58277,3.8,3.8,3.8,99.4
"Custom Region",Albania,2017,70-74,93554,45824,47730,3.1,3.0,3.1,96.0
"Custom Region",Albania,2017,75-79,80121,37557,42564,2.6,2.5,2.8,88.2
"Custom Region",Albania,2017,80-84,44762,19636,25126,1.5,1.3,1.6,78.2
"Custom Region",Albania,2017,85-89,19827,6866,12961,0.7,0.5,0.8,53.0
"Custom Region",Albania,2017,90-94,6511,1627,4884,0.2,0.1,0.3,33.3
"Custom Region",Albania,2017,95-99,1333,241,1092,0.0,0.0,0.1,22.1
"Custom Region",Albania,2017,100+,119,14,105,0.0,0.0,0.0,13.3
"Custom Region",Algeria,2013,Total,38087812,19283146,18804666,100.0,100.0,100.0,102.5
"Custom Region",Algeria,2013,0-4,4307253,2205236,2102017,11.3,11.4,11.2,104.9
"Custom Region",Algeria,2013,5-9,3491869,1787972,1703897,9.2,9.3,9.1,104.9
"Custom Region",Algeria,2013,10-14,2887105,1476880,1410225,7.6,7.7,7.5,104.7
"Custom Region",Algeria,2013,15-19,3279010,1677194,1601816,8.6,8.7,8.5,104.7
"Custom Region",Algeria,2013,20-24,3629225,1859222,1770003,9.5,9.6,9.4,105.0
"Custom Region",Algeria,2013,25-29,3664770,1857714,1807056,9.6,9.6,9.6,102.8
"Custom Region",Algeria,2013,30-34,3477261,1749289,1727972,9.1,9.1,9.2,101.2
"Custom Region",Algeria,2013,35-39,2867925,1455865,1412060,7.5,7.5,7.5,103.1
"Custom Region",Algeria,2013,40-44,2440601,1236031,1204570,6.4,6.4,6.4,102.6
"Custom Region",Algeria,2013,45-49,2079961,1048650,1031311,5.5,5.4,5.5,101.7
"Custom Region",Algeria,2013,50-54,1718793,866253,852540,4.5,4.5,4.5,101.6
"Custom Region",Algeria,2013,55-59,1311194,670182,641012,3.4,3.5,3.4,104.6
"Custom Region",Algeria,2013,60-64,989349,502346,487003,2.6,2.6,2.6,103.2
"Custom Region",Algeria,2013,65-69,672768,323468,349300,1.8,1.7,1.9,92.6
"Custom Region",Algeria,2013,70-74,480691,220439,260252,1.3,1.1,1.4,84.7
"Custom Region",Algeria,2013,75-79,385810,173662,212148,1.0,0.9,1.1,81.9
"Custom Region",Algeria,2013,80-84,247288,108224,139064,0.6,0.6,0.7,77.8
"Custom Region",Algeria,2013,85-89,110052,46094,63958,0.3,0.2,0.3,72.1
"Custom Region",Algeria,2013,90-94,37090,14766,22324,0.1,0.1,0.1,66.1
"Custom Region",Algeria,2013,95-99,8563,3216,5347,0.0,0.0,0.0,60.1
"Custom Region",Algeria,2013,100+,1234,443,791,0.0,0.0,0.0,56.0
"Custom Region",Algeria,2014,Total,38813722,19653621,19160101,100.0,100.0,100.0,102.6
"Custom Region",Algeria,2014,0-4,4402581,2254097,2148484,11.3,11.5,11.2,104.9
"Custom Region",Algeria,2014,5-9,3668468,1878539,1789929,9.5,9.6,9.3,105.0
"Custom Region",Algeria,2014,10-14,2948306,1508512,1439794,7.6,7.7,7.5,104.8
"Custom Region",Algeria,2014,15-19,3116487,1593960,1522527,8.0,8.1,7.9,104.7
"Custom Region",Algeria,2014,20-24,3625748,1857109,1768639,9.3,9.4,9.2,105.0
"Custom Region",Algeria,2014,25-29,3654258,1858347,1795911,9.4,9.5,9.4,103.5
"Custom Region",Algeria,2014,30-34,3531181,1776637,1754544,9.1,9.0,9.2,101.3
"Custom Region",Algeria,2014,35-39,2993803,1515664,1478139,7.7,7.7,7.7,102.5
"Custom Region",Algeria,2014,40-44,2498241,1267298,1230943,6.4,6.4,6.4,103.0
"Custom Region",Algeria,2014,45-49,2146910,1082613,1064297,5.5,5.5,5.6,101.7
"Custom Region",Algeria,2014,50-54,1784011,898211,885800,4.6,4.6,4.6,101.4
"Custom Region",Algeria,2014,55-59,1382086,703490,678596,3.6,3.6,3.5,103.7
"Custom Region",Algeria,2014,60-64,1035611,527375,508236,2.7,2.7,2.7,103.8
"Custom Region",Algeria,2014,65-69,719812,350147,369665,1.9,1.8,1.9,94.7
"Custom Region",Algeria,2014,70-74,493027,226320,266707,1.3,1.2,1.4,84.9
"Custom Region",Algeria,2014,75-79,386291,173459,212832,1.0,0.9,1.1,81.5
"Custom Region",Algeria,2014,80-84,258538,112987,145551,0.7,0.6,0.8,77.6
"Custom Region",Algeria,2014,85-89,118463,49456,69007,0.3,0.3,0.4,71.7
"Custom Region",Algeria,2014,90-94,39309,15508,23801,0.1,0.1,0.1,65.2
"Custom Region",Algeria,2014,95-99,9229,3417,5812,0.0,0.0,0.0,58.8
"Custom Region",Algeria,2014,100+,1362,475,887,0.0,0.0,0.0,53.6
"Custom Region",Algeria,2015,Total,39542166,20025178,19516988,100.0,100.0,100.0,102.6
"Custom Region",Algeria,2015,0-4,4469430,2288392,2181038,11.3,11.4,11.2,104.9
"Custom Region",Algeria,2015,5-9,3853164,1973277,1879887,9.7,9.9,9.6,105.0
"Custom Region",Algeria,2015,10-14,3045006,1558358,1486648,7.7,7.8,7.6,104.8
"Custom Region",Algeria,2015,15-19,2974185,1521081,1453104,7.5,7.6,7.4,104.7
"Custom Region",Algeria,2015,20-24,3607415,1847334,1760081,9.1,9.2,9.0,105.0
"Custom Region",Algeria,2015,25-29,3628772,1850675,1778097,9.2,9.2,9.1,104.1
"Custom Region",Algeria,2015,30-34,3564369,1794827,1769542,9.0,9.0,9.1,101.4
"Custom Region",Algeria,2015,35-39,3124993,1577367,1547626,7.9,7.9,7.9,101.9
"Custom Region",Algeria,2015,40-44,2559199,1300073,1259126,6.5,6.5,6.5,103.3
"Custom Region",Algeria,2015,45-49,2214174,1116922,1097252,5.6,5.6,5.6,101.8
"Custom Region",Algeria,2015,50-54,1846968,929533,917435,4.7,4.6,4.7,101.3
"Custom Region",Algeria,2015,55-59,1456320,738015,718305,3.7,3.7,3.7,102.7
"Custom Region",Algeria,2015,60-64,1081660,551580,530080,2.7,2.8,2.7,104.1
"Custom Region",Algeria,2015,65-69,771095,379187,391908,2.0,1.9,2.0,96.8
"Custom Region",Algeria,2015,70-74,510432,235023,275409,1.3,1.2,1.4,85.3
"Custom Region",Algeria,2015,75-79,385908,172892,213016,1.0,0.9,1.1,81.2
"Custom Region",Algeria,2015,80-84,268525,117164,151361,0.7,0.6,0.8,77.4
"Custom Region",Algeria,2015,85-89,127303,52983,74320,0.3,0.3,0.4,71.3
"Custom Region",Algeria,2015,90-94,41800,16354,25446,0.1,0.1,0.1,64.3
"Custom Region",Algeria,2015,95-99,9955,3634,6321,0.0,0.0,0.0,57.5
"Custom Region",Algeria,2015,100+,1493,507,986,0.0,0.0,0.0,51.4
"Custom Region",Algeria,2016,Total,40263711,20392973,19870738,100.0,100.0,100.0,102.6
"Custom Region",Algeria,2016,0-4,4507492,2307956,2199536,11.2,11.3,11.1,104.9
"Custom Region",Algeria,2016,5-9,4026067,2061904,1964163,10.0,10.1,9.9,105.0
"Custom Region",Algeria,2016,10-14,3167221,1621304,1545917,7.9,8.0,7.8,104.9
"Custom Region",Algeria,2016,15-19,2902305,1484240,1418065,7.2,7.3,7.1,104.7
"Custom Region",Algeria,2016,20-24,3521767,1803208,1718559,8.7,8.8,8.6,104.9
"Custom Region",Algeria,2016,25-29,3608535,1845259,1763276,9.0,9.0,8.9,104.6
"Custom Region",Algeria,2016,30-34,3586017,1807921,1778096,8.9,8.9,8.9,101.7
"Custom Region",Algeria,2016,35-39,3248168,1635274,1612894,8.1,8.0,8.1,101.4
"Custom Region",Algeria,2016,40-44,2631865,1337724,1294141,6.5,6.6,6.5,103.4
"Custom Region",Algeria,2016,45-49,2280129,1150906,1129223,5.7,5.6,5.7,101.9
"Custom Region",Algeria,2016,50-54,1909367,960860,948507,4.7,4.7,4.8,101.3
"Custom Region",Algeria,2016,55-59,1530252,772494,757758,3.8,3.8,3.8,101.9
"Custom Region",Algeria,2016,60-64,1131378,576797,554581,2.8,2.8,2.8,104.0
"Custom Region",Algeria,2016,65-69,822776,408199,414577,2.0,2.0,2.1,98.5
"Custom Region",Algeria,2016,70-74,533746,247239,286507,1.3,1.2,1.4,86.3
"Custom Region",Algeria,2016,75-79,386979,173063,213916,1.0,0.8,1.1,80.9
"Custom Region",Algeria,2016,80-84,276454,120378,156076,0.7,0.6,0.8,77.1
"Custom Region",Algeria,2016,85-89,136086,56465,79621,0.3,0.3,0.4,70.9
"Custom Region",Algeria,2016,90-94,44752,17380,27372,0.1,0.1,0.1,63.5
"Custom Region",Algeria,2016,95-99,10720,3860,6860,0.0,0.0,0.0,56.3
"Custom Region",Algeria,2016,100+,1635,542,1093,0.0,0.0,0.0,49.6
"Custom Region",Algeria,2017,Total,40969443,20752429,20217014,100.0,100.0,100.0,102.6
